"service_id","date","exception_type"
1,20220214,2
1,20220411,2
1,20220418,2
1,20220215,2
1,20220412,2
1,20220216,2
1,20220413,2
1,20220511,2
1,20220217,2
1,20220414,2
1,20220218,2
1,20220415,2
2,20220418,2
2,20220511,2
2,20220414,2
2,20220415,2
3,20220214,1
3,20220221,1
3,20220228,1
3,20220307,1
3,20220314,1
3,20220321,1
3,20220215,1
3,20220222,1
3,20220301,1
3,20220308,1
3,20220315,1
3,20220322,1
3,20220216,1
3,20220223,1
3,20220302,1
3,20220309,1
3,20220316,1
3,20220323,1
3,20220331,2
3,20220407,2
3,20220414,2
3,20220421,2
3,20220428,2
3,20220505,2
3,20220401,2
3,20220408,2
3,20220415,2
3,20220422,2
3,20220429,2
3,20220506,2
4,20220328,1
4,20220404,1
4,20220411,1
4,20220425,1
4,20220502,1
4,20220509,1
4,20220215,2
4,20220222,2
4,20220301,2
4,20220308,2
4,20220315,2
4,20220322,2
4,20220330,1
4,20220406,1
4,20220413,1
4,20220420,1
4,20220427,1
4,20220504,1
4,20220331,1
4,20220407,1
4,20220421,1
4,20220428,1
4,20220505,1
4,20220401,1
4,20220408,1
4,20220422,1
4,20220429,1
4,20220506,1
5,20220221,1
5,20220228,1
5,20220307,1
5,20220314,1
5,20220321,1
5,20220222,1
5,20220301,1
5,20220308,1
5,20220315,1
5,20220322,1
5,20220223,1
5,20220302,1
5,20220309,1
5,20220316,1
5,20220323,1
5,20220224,1
5,20220303,1
5,20220310,1
5,20220317,1
5,20220324,1
5,20220225,1
5,20220304,1
5,20220311,1
5,20220318,1
5,20220325,1
6,20220328,1
6,20220404,1
6,20220425,1
6,20220502,1
6,20220509,1
6,20220329,1
6,20220405,1
6,20220419,1
6,20220426,1
6,20220503,1
6,20220510,1
6,20220330,1
6,20220406,1
6,20220420,1
6,20220427,1
6,20220504,1
6,20220331,1
6,20220407,1
6,20220421,1
6,20220428,1
6,20220505,1
6,20220401,1
6,20220408,1
6,20220422,1
6,20220429,1
6,20220506,1
7,20220220,1
7,20220227,1
7,20220306,1
7,20220313,1
7,20220320,1
8,20220418,1
8,20220414,1
8,20220415,1
8,20220220,2
8,20220227,2
8,20220306,2
8,20220313,2
8,20220320,2
9,20220219,1
9,20220226,1
9,20220305,1
9,20220312,1
9,20220319,1
10,20220219,2
10,20220226,2
10,20220305,2
10,20220312,2
10,20220319,2
11,20220214,1
11,20220215,1
11,20220216,1
11,20220217,1
11,20220218,1
12,20220411,1
12,20220412,1
12,20220413,1
13,20220214,1
13,20220411,1
13,20220215,1
13,20220412,1
13,20220216,1
13,20220413,1
13,20220217,1
13,20220218,1
14,20220214,2
14,20220411,2
14,20220418,2
15,20220216,2
15,20220413,2
15,20220511,2
16,20220217,2
16,20220414,2
17,20220218,2
17,20220415,2
18,20220215,2
18,20220412,2
18,20220217,2
18,20220414,2
19,20220216,2
19,20220413,2
19,20220511,2
19,20220218,2
19,20220415,2
20,20220218,2
20,20220415,2
20,20220506,2
21,20220215,2
21,20220412,2
22,20220214,2
22,20220411,2
22,20220418,2
22,20220217,2
22,20220414,2
23,20220223,1
23,20220302,1
23,20220309,1
23,20220316,1
23,20220323,1
23,20220330,1
25,20220418,1
25,20220414,1
25,20220415,1
27,20220214,2
27,20220411,2
27,20220418,2
27,20220216,2
27,20220413,2
27,20220511,2
27,20220218,2
27,20220415,2
28,20220214,2
28,20220411,2
28,20220418,2
28,20220215,2
28,20220412,2
28,20220217,2
28,20220414,2
29,20220214,1
29,20220411,1
29,20220216,1
29,20220413,1
29,20220218,1
30,20220214,1
30,20220411,1
30,20220215,1
30,20220412,1
30,20220217,1
31,20220215,1
31,20220412,1
31,20220217,1
32,20220216,1
32,20220413,1
32,20220218,1
33,20220214,2
33,20220221,2
33,20220228,2
33,20220307,2
33,20220314,2
33,20220418,2
33,20220215,2
33,20220222,2
33,20220301,2
33,20220308,2
33,20220315,2
33,20220216,2
33,20220223,2
33,20220302,2
33,20220309,2
33,20220316,2
33,20220511,2
33,20220217,2
33,20220224,2
33,20220303,2
33,20220310,2
33,20220317,2
33,20220414,2
33,20220218,2
33,20220225,2
33,20220304,2
33,20220311,2
33,20220318,2
33,20220415,2
34,20220214,1
34,20220221,1
34,20220228,1
34,20220307,1
34,20220314,1
34,20220215,1
34,20220222,1
34,20220301,1
34,20220308,1
34,20220315,1
34,20220216,1
34,20220223,1
34,20220302,1
34,20220309,1
34,20220316,1
34,20220217,1
34,20220224,1
34,20220303,1
34,20220310,1
34,20220317,1
34,20220218,1
34,20220225,1
34,20220304,1
34,20220311,1
34,20220318,1
35,20220219,2
35,20220226,2
35,20220305,2
35,20220312,2
36,20220219,1
36,20220226,1
36,20220305,1
36,20220312,1
37,20220418,1
37,20220414,1
37,20220415,1
37,20220220,2
37,20220227,2
37,20220306,2
37,20220313,2
38,20220220,1
38,20220227,1
38,20220306,1
38,20220313,1
39,20220418,2
39,20220425,2
39,20220502,2
39,20220509,2
39,20220419,2
39,20220426,2
39,20220503,2
39,20220510,2
39,20220420,2
39,20220427,2
39,20220504,2
39,20220511,2
39,20220414,2
39,20220421,2
39,20220428,2
39,20220505,2
39,20220415,2
39,20220422,2
39,20220429,2
39,20220506,2
40,20220425,1
40,20220502,1
40,20220509,1
40,20220419,1
40,20220426,1
40,20220503,1
40,20220510,1
40,20220420,1
40,20220427,1
40,20220504,1
40,20220421,1
40,20220428,1
40,20220505,1
40,20220422,1
40,20220429,1
40,20220506,1
41,20220214,2
41,20220411,2
41,20220418,2
41,20220216,2
41,20220413,2
41,20220511,2
41,20220217,2
41,20220414,2
41,20220218,2
41,20220415,2
42,20220214,2
42,20220411,2
42,20220418,2
42,20220215,2
42,20220412,2
42,20220216,2
42,20220413,2
42,20220511,2
42,20220217,2
42,20220414,2
43,20220214,2
43,20220411,2
43,20220418,2
43,20220216,2
43,20220413,2
43,20220511,2
43,20220217,2
43,20220414,2
44,20220214,2
44,20220411,2
44,20220418,2
44,20220425,2
44,20220502,2
44,20220509,2
44,20220215,2
44,20220412,2
44,20220419,2
44,20220426,2
44,20220503,2
44,20220510,2
44,20220218,2
44,20220415,2
44,20220422,2
44,20220429,2
44,20220506,2
45,20220214,2
45,20220411,2
45,20220418,2
45,20220218,2
45,20220415,2
46,20220215,2
46,20220412,2
46,20220216,2
46,20220413,2
46,20220511,2
46,20220217,2
46,20220414,2
46,20220218,2
46,20220415,2
47,20220221,1
47,20220228,1
47,20220223,1
47,20220302,1
47,20220225,1
47,20220304,1
48,20220214,2
48,20220411,2
48,20220418,2
48,20220216,2
48,20220413,2
48,20220511,2
49,20220214,2
49,20220221,2
49,20220228,2
49,20220411,2
49,20220418,2
49,20220215,2
49,20220222,2
49,20220301,2
49,20220412,2
49,20220216,2
49,20220223,2
49,20220302,2
49,20220413,2
49,20220511,2
49,20220217,2
49,20220224,2
49,20220303,2
49,20220414,2
49,20220218,2
49,20220225,2
49,20220304,2
49,20220415,2
50,20220217,2
50,20220414,2
50,20220218,2
50,20220415,2
51,20220216,2
51,20220413,2
51,20220511,2
51,20220217,2
51,20220414,2
51,20220218,2
51,20220415,2
52,20220214,2
52,20220411,2
52,20220418,2
52,20220215,2
52,20220412,2
52,20220217,2
52,20220414,2
52,20220218,2
52,20220415,2
53,20220215,2
53,20220412,2
53,20220216,2
53,20220413,2
53,20220511,2
53,20220218,2
53,20220415,2
54,20220215,2
54,20220412,2
54,20220216,2
54,20220413,2
54,20220511,2
54,20220217,2
54,20220414,2
55,20220215,2
55,20220412,2
55,20220217,2
55,20220414,2
55,20220218,2
55,20220415,2
56,20220214,2
56,20220411,2
56,20220418,2
56,20220217,2
56,20220414,2
56,20220218,2
56,20220415,2
57,20220215,2
57,20220412,2
57,20220218,2
57,20220415,2
58,20220414,2
58,20220415,2
59,20220415,2
60,20220414,2
61,20220404,1
61,20220425,1
61,20220502,1
61,20220509,1
61,20220405,1
61,20220419,1
61,20220426,1
61,20220503,1
61,20220510,1
61,20220406,1
61,20220420,1
61,20220427,1
61,20220504,1
61,20220407,1
61,20220421,1
61,20220428,1
61,20220505,1
61,20220408,1
61,20220422,1
61,20220429,1
61,20220506,1
62,20220501,1
63,20220221,1
63,20220228,1
63,20220222,1
63,20220223,1
63,20220224,1
63,20220225,1
64,20220214,2
64,20220221,2
64,20220228,2
64,20220411,2
64,20220418,2
64,20220215,2
64,20220222,2
64,20220412,2
64,20220216,2
64,20220223,2
64,20220413,2
64,20220511,2
64,20220217,2
64,20220224,2
64,20220414,2
64,20220218,2
64,20220225,2
64,20220415,2
65,20220221,1
65,20220228,1
65,20220224,1
66,20220214,2
66,20220221,2
66,20220228,2
66,20220411,2
66,20220418,2
66,20220217,2
66,20220224,2
66,20220414,2
67,20220221,1
67,20220228,1
67,20220307,1
67,20220314,1
67,20220321,1
67,20220328,1
67,20220222,1
67,20220301,1
67,20220308,1
67,20220315,1
67,20220322,1
67,20220329,1
67,20220223,1
67,20220302,1
67,20220309,1
67,20220316,1
67,20220323,1
67,20220330,1
67,20220217,2
67,20220407,2
67,20220414,2
67,20220421,2
67,20220428,2
67,20220505,2
67,20220218,2
67,20220408,2
67,20220415,2
67,20220422,2
67,20220429,2
67,20220506,2
68,20220221,1
68,20220228,1
68,20220222,1
68,20220301,1
68,20220223,1
68,20220302,1
68,20220224,1
68,20220303,1
68,20220225,1
68,20220304,1
69,20220425,1
69,20220502,1
69,20220509,1
69,20220426,1
69,20220503,1
69,20220510,1
69,20220427,1
69,20220504,1
69,20220428,1
69,20220505,1
69,20220429,1
69,20220506,1
70,20220216,2
70,20220413,2
70,20220511,2
70,20220217,2
70,20220414,2
71,20220214,2
71,20220411,2
71,20220418,2
71,20220215,2
71,20220412,2
72,20220214,2
72,20220411,2
72,20220418,2
72,20220215,2
72,20220412,2
72,20220218,2
72,20220415,2
73,20220423,1
73,20220430,1
73,20220507,1
74,20220423,2
74,20220430,2
74,20220507,2
75,20220217,1
75,20220218,1
76,20220415,2
77,20220214,1
77,20220411,1
77,20220215,1
77,20220412,1
77,20220216,1
77,20220413,1
77,20220217,1
78,20220507,1
79,20220502,1
79,20220509,1
79,20220503,1
79,20220510,1
79,20220504,1
79,20220505,1
79,20220506,1
80,20220508,1
81,20220411,1
81,20220425,1
81,20220502,1
81,20220509,1
81,20220412,1
81,20220419,1
81,20220426,1
81,20220503,1
81,20220510,1
81,20220413,1
81,20220420,1
81,20220427,1
81,20220504,1
81,20220421,1
81,20220428,1
81,20220505,1
81,20220422,1
81,20220429,1
81,20220506,1
82,20220416,1
82,20220423,1
82,20220430,1
82,20220507,1
